ad_id,latitude,longitude,bairro,cidade
40560834,-27.0914,-48.61215,Centro,Itapema
628340205412932131,-27.115776,-48.610996,Morretes,Itapema
39145712,-27.11617,-48.60829,Morretes,Itapema
40039627,-27.0902,-48.61245,Centro,Itapema
40794806,-27.09866,-48.6607,Areal,Itapema
38327538,-27.09957,-48.66086,Areal,Itapema
512777474623317753,-27.05002,-48.64868,Cedro,Camboriú
40371384,-27.09208,-48.61173,Centro,Itapema
47817514,-27.06524,-48.59628,Ilhota,Itapema
43499385,-27.06128,-48.59869,Ilhota,Itapema
40209404,-27.09006,-48.61213,Centro,Itapema
529739095437719765,-27.05014,-48.64068,Rio Pequeno,Camboriú
734567878821526204,-27.0588367,-48.6049185,Ilhota,Itapema
642629355870261819,-27.05963,-48.60605,Ilhota,Itapema
580541688425401383,-27.05779,-48.60598,Ilhota,Itapema
44890294,-27.12901,-48.60069,Meia Praia,Itapema
771134836709283777,-27.13612,-48.59526,Meia Praia,Itapema
39972515,-27.1346,-48.59988,Meia Praia,Itapema
23299596,-27.13328,-48.5977,Meia Praia,Itapema
41470273,-27.13865,-48.59335,Meia Praia,Itapema
8325723,-27.1291,-48.59985,Meia Praia,Itapema
22367379,-27.13174,-48.60689,Meia Praia,Itapema
42362925,-27.1343,-48.60154,Meia Praia,Itapema
543636856398810159,-27.05165,-48.58923,Estaleirinho,Balneário Camboriú
31055188,-27.05154,-48.59019,Estaleirinho,Balneário Camboriú
42901905,-27.05168,-48.5897,Estaleirinho,Balneário Camboriú
47816646,-27.06148,-48.59346,Ilhota,Itapema
42270655,-27.05835,-48.59616,Ilhota,Itapema
53937780,-27.05075,-48.58915,Estaleirinho,Balneário Camboriú
47802450,-27.05753,-48.60052,Ilhota,Itapema
50567595,-27.05322,-48.59671,Estaleirinho,Balneário Camboriú
53600501,-27.06457,-48.59591,Ilhota,Itapema
40869266,-27.0512,-48.59305,Estaleirinho,Balneário Camboriú
51813436,-27.05118,-48.59483,Estaleirinho,Balneário Camboriú
39625815,-27.05168,-48.5897,Estaleirinho,Balneário Camboriú
21610715,-27.06214,-48.59476,Ilhota,Itapema
53659639,-27.064905,-48.594986,Ilhota,Itapema
565849654006523112,-27.05321,-48.59555,Estaleirinho,Balneário Camboriú
40400432,-27.06431,-48.59523,Ilhota,Itapema
54365625,-27.06007,-48.59952,Ilhota,Itapema
50567030,-27.05172,-48.59487,Estaleirinho,Balneário Camboriú
50791003,-27.05277,-48.59619,Estaleirinho,Balneário Camboriú
53991028,-27.06289,-48.59634,Ilhota,Itapema
52968994,-27.06166,-48.60012,Ilhota,Itapema
26898492,-27.06418,-48.595661,Ilhota,Itapema
49690811,-27.05026,-48.588,Estaleirinho,Balneário Camboriú
40324988,-27.05168,-48.5897,Estaleirinho,Balneário Camboriú
52107212,-27.06322,-48.59617,Ilhota,Itapema
31050234,-27.05118,-48.59545,Estaleirinho,Balneário Camboriú
46644365,-27.05205,-48.59229,Estaleirinho,Balneário Camboriú
22759650,-27.0578,-48.60058,Ilhota,Itapema
22950438,-27.06228,-48.5941,Ilhota,Itapema
