ad_id,latitude,longitude,bairro,cidade,geometry
40560834,-27.0914,-48.61215,Centro,Itapema,POINT (-48.61215 -27.0914)
628340205412932131,-27.115776,-48.610996,Morretes,Itapema,POINT (-48.610996 -27.115776)
39145712,-27.11617,-48.60829,Morretes,Itapema,POINT (-48.60829 -27.11617)
40039627,-27.0902,-48.61245,Centro,Itapema,POINT (-48.61245 -27.0902)
40794806,-27.09866,-48.6607,Areal,Itapema,POINT (-48.6607 -27.09866)
38327538,-27.09957,-48.66086,Areal,Itapema,POINT (-48.66086 -27.09957)
512777474623317753,-27.05002,-48.64868,Cedro,Camboriú,POINT (-48.64868 -27.05002)
40371384,-27.09208,-48.61173,Centro,Itapema,POINT (-48.61173 -27.09208)
47817514,-27.06524,-48.59628,Ilhota,Itapema,POINT (-48.59628 -27.06524)
43499385,-27.06128,-48.59869,Ilhota,Itapema,POINT (-48.59869 -27.06128)
40209404,-27.09006,-48.61213,Centro,Itapema,POINT (-48.61213 -27.09006)
529739095437719765,-27.05014,-48.64068,Rio Pequeno,Camboriú,POINT (-48.64068 -27.05014)
734567878821526204,-27.0588367,-48.6049185,Ilhota,Itapema,POINT (-48.6049185 -27.0588367)
642629355870261819,-27.05963,-48.60605,Ilhota,Itapema,POINT (-48.60605 -27.05963)
580541688425401383,-27.05779,-48.60598,Ilhota,Itapema,POINT (-48.60598 -27.05779)
44890294,-27.12901,-48.60069,Meia Praia,Itapema,POINT (-48.60069 -27.12901)
771134836709283777,-27.13612,-48.59526,Meia Praia,Itapema,POINT (-48.59526 -27.13612)
39972515,-27.1346,-48.59988,Meia Praia,Itapema,POINT (-48.59988 -27.1346)
23299596,-27.13328,-48.5977,Meia Praia,Itapema,POINT (-48.5977 -27.13328)
41470273,-27.13865,-48.59335,Meia Praia,Itapema,POINT (-48.59335 -27.13865)
8325723,-27.1291,-48.59985,Meia Praia,Itapema,POINT (-48.59985 -27.1291)
22367379,-27.13174,-48.60689,Meia Praia,Itapema,POINT (-48.60689 -27.13174)
42362925,-27.1343,-48.60154,Meia Praia,Itapema,POINT (-48.60154 -27.1343)
543636856398810159,-27.05165,-48.58923,Estaleirinho,Balneário Camboriú,POINT (-48.58923 -27.05165)
31055188,-27.05154,-48.59019,Estaleirinho,Balneário Camboriú,POINT (-48.59019 -27.05154)
42901905,-27.05168,-48.5897,Estaleirinho,Balneário Camboriú,POINT (-48.5897 -27.05168)
47816646,-27.06148,-48.59346,Ilhota,Itapema,POINT (-48.59346 -27.06148)
42270655,-27.05835,-48.59616,Ilhota,Itapema,POINT (-48.59616 -27.05835)
53937780,-27.05075,-48.58915,Estaleirinho,Balneário Camboriú,POINT (-48.58915 -27.05075)
47802450,-27.05753,-48.60052,Ilhota,Itapema,POINT (-48.60052 -27.05753)
50567595,-27.05322,-48.59671,Estaleirinho,Balneário Camboriú,POINT (-48.59671 -27.05322)
53600501,-27.06457,-48.59591,Ilhota,Itapema,POINT (-48.59591 -27.06457)
40869266,-27.0512,-48.59305,Estaleirinho,Balneário Camboriú,POINT (-48.59305 -27.0512)
51813436,-27.05118,-48.59483,Estaleirinho,Balneário Camboriú,POINT (-48.59483 -27.05118)
39625815,-27.05168,-48.5897,Estaleirinho,Balneário Camboriú,POINT (-48.5897 -27.05168)
21610715,-27.06214,-48.59476,Ilhota,Itapema,POINT (-48.59476 -27.06214)
53659639,-27.064905,-48.594986,Ilhota,Itapema,POINT (-48.594986 -27.064905)
565849654006523112,-27.05321,-48.59555,Estaleirinho,Balneário Camboriú,POINT (-48.59555 -27.05321)
40400432,-27.06431,-48.59523,Ilhota,Itapema,POINT (-48.59523 -27.06431)
54365625,-27.06007,-48.59952,Ilhota,Itapema,POINT (-48.59952 -27.06007)
50567030,-27.05172,-48.59487,Estaleirinho,Balneário Camboriú,POINT (-48.59487 -27.05172)
50791003,-27.05277,-48.59619,Estaleirinho,Balneário Camboriú,POINT (-48.59619 -27.05277)
53991028,-27.06289,-48.59634,Ilhota,Itapema,POINT (-48.59634 -27.06289)
52968994,-27.06166,-48.60012,Ilhota,Itapema,POINT (-48.60012 -27.06166)
26898492,-27.06418,-48.595661,Ilhota,Itapema,POINT (-48.595661 -27.06418)
49690811,-27.05026,-48.588,Estaleirinho,Balneário Camboriú,POINT (-48.588 -27.05026)
40324988,-27.05168,-48.5897,Estaleirinho,Balneário Camboriú,POINT (-48.5897 -27.05168)
52107212,-27.06322,-48.59617,Ilhota,Itapema,POINT (-48.59617 -27.06322)
31050234,-27.05118,-48.59545,Estaleirinho,Balneário Camboriú,POINT (-48.59545 -27.05118)
46644365,-27.05205,-48.59229,Estaleirinho,Balneário Camboriú,POINT (-48.59229 -27.05205)
22759650,-27.0578,-48.60058,Ilhota,Itapema,POINT (-48.60058 -27.0578)
22950438,-27.06228,-48.5941,Ilhota,Itapema,POINT (-48.5941 -27.06228)
47385736,-27.05718,-48.60363,Ilhota,Itapema,POINT (-48.60363 -27.05718)
39946988,-27.0648,-48.59506,Ilhota,Itapema,POINT (-48.59506 -27.0648)
735257283376748431,-27.064885784243423,-48.59530750793456,Ilhota,Itapema,POINT (-48.59530750793456 -27.064885784243423)
745783954679270918,-27.0522629,-48.5956834,Estaleirinho,Balneário Camboriú,POINT (-48.5956834 -27.0522629)
46633406,-27.06417,-48.59495,Ilhota,Itapema,POINT (-48.59495 -27.06417)
39482705,-27.06167,-48.59793,Ilhota,Itapema,POINT (-48.59793 -27.06167)
39744751,-27.06488,-48.59419,Ilhota,Itapema,POINT (-48.59419 -27.06488)
38113842,-27.06306,-48.59763,Ilhota,Itapema,POINT (-48.59763 -27.06306)
21657916,-27.05715,-48.59941,Ilhota,Itapema,POINT (-48.59941 -27.05715)
52131937,-27.06024,-48.59866,Ilhota,Itapema,POINT (-48.59866 -27.06024)
41054704,-27.0638,-48.59523,Ilhota,Itapema,POINT (-48.59523 -27.0638)
40261346,-27.05726,-48.60087,Ilhota,Itapema,POINT (-48.60087 -27.05726)
24515144,-27.0528,-48.59448,Estaleirinho,Balneário Camboriú,POINT (-48.59448 -27.0528)
24512533,-27.05276,-48.59492,Estaleirinho,Balneário Camboriú,POINT (-48.59492 -27.05276)
41496656,-27.05897,-48.60395,Ilhota,Itapema,POINT (-48.60395 -27.05897)
54005716,-27.09043,-48.64565,Areal,Itapema,POINT (-48.64565 -27.09043)
39990143,-27.09212,-48.63426,Casa Branca,Itapema,POINT (-48.63426 -27.09212)
27248980,-27.09021,-48.6291,Casa Branca,Itapema,POINT (-48.6291 -27.09021)
715454419725399771,-27.0932759,-48.6346002,Várzea,Itapema,POINT (-48.6346002 -27.0932759)
39968806,-27.09137,-48.63566,Casa Branca,Itapema,POINT (-48.63566 -27.09137)
41074064,-27.09349,-48.62856,Casa Branca,Itapema,POINT (-48.62856 -27.09349)
53829219,-27.09523,-48.62847,Várzea,Itapema,POINT (-48.62847 -27.09523)
751396284745576875,-27.09843145741032,-48.62993270898438,Areal,Itapema,POINT (-48.62993270898438 -27.09843145741032)
39610907,-27.10276,-48.63511,Várzea,Itapema,POINT (-48.63511 -27.10276)
39701557,-27.0865,-48.63671,Alto São Bento,Itapema,POINT (-48.63671 -27.0865)
53076658,-27.0974,-48.62842,Várzea,Itapema,POINT (-48.62842 -27.0974)
41256200,-27.09811,-48.62715,Várzea,Itapema,POINT (-48.62715 -27.09811)
23069834,-27.09727,-48.6266,Várzea,Itapema,POINT (-48.6266 -27.09727)
54077587,-27.103344,-48.635139,Várzea,Itapema,POINT (-48.635139 -27.103344)
40660728,-27.08735,-48.62828,Casa Branca,Itapema,POINT (-48.62828 -27.08735)
39701120,-27.08659,-48.63669,Alto São Bento,Itapema,POINT (-48.63669 -27.08659)
39702236,-27.08672,-48.63695,Alto São Bento,Itapema,POINT (-48.63695 -27.08672)
39508136,-27.08601,-48.6365,Alto São Bento,Itapema,POINT (-48.6365 -27.08601)
770402903965942064,-27.08203,-48.61429,Sertãozinho,Itapema,POINT (-48.61429 -27.08203)
758059618209979073,-27.0808,-48.61515,Sertãozinho,Itapema,POINT (-48.61515 -27.0808)
41634696,-27.0827,-48.60887,Sertãozinho,Itapema,POINT (-48.60887 -27.0827)
31511990,-27.08377,-48.61115,Sertãozinho,Itapema,POINT (-48.61115 -27.08377)
53740866,-27.08345,-48.616516,Alto São Bento,Itapema,POINT (-48.616516 -27.08345)
712957378943503958,-27.07807,-48.61499,Alto São Bento,Itapema,POINT (-48.61499 -27.07807)
733855907068114161,-27.082505421865605,-48.61966855823994,Alto São Bento,Itapema,POINT (-48.61966855823994 -27.082505421865605)
5159357,-27.08253,-48.61317,Sertãozinho,Itapema,POINT (-48.61317 -27.08253)
54235622,-27.08419,-48.61514,Alto São Bento,Itapema,POINT (-48.61514 -27.08419)
753705661776365934,-27.08465,-48.61299,Alto São Bento,Itapema,POINT (-48.61299 -27.08465)
46275825,-27.08422,-48.61912,Alto São Bento,Itapema,POINT (-48.61912 -27.08422)
746338647684313347,-27.08309,-48.61657,Alto São Bento,Itapema,POINT (-48.61657 -27.08309)
53095970,-27.08052,-48.62437,Alto São Bento,Itapema,POINT (-48.62437 -27.08052)
52826100,-27.08027,-48.62286,Alto São Bento,Itapema,POINT (-48.62286 -27.08027)
53885820,-27.0806391058138,-48.614430874586105,Sertãozinho,Itapema,POINT (-48.614430874586105 -27.0806391058138)
746268050974638964,-27.08299,-48.61769,Alto São Bento,Itapema,POINT (-48.61769 -27.08299)
41762297,-27.08442,-48.61073,Sertãozinho,Itapema,POINT (-48.61073 -27.08442)
52903424,-27.0838,-48.61557,Alto São Bento,Itapema,POINT (-48.61557 -27.0838)
41457268,-27.08341,-48.60983,Sertãozinho,Itapema,POINT (-48.60983 -27.08341)
52905472,-27.08351,-48.61468,Alto São Bento,Itapema,POINT (-48.61468 -27.08351)
29365238,-27.09068,-48.61905,Casa Branca,Itapema,POINT (-48.61905 -27.09068)
756315688365997518,-27.08916,-48.6192,Casa Branca,Itapema,POINT (-48.6192 -27.08916)
40289385,-27.08593,-48.62061,Alto São Bento,Itapema,POINT (-48.62061 -27.08593)
46530405,-27.1137924194336,-48.6097526550293,Morretes,Itapema,POINT (-48.6097526550293 -27.1137924194336)
17434239,-27.12827,-48.59886,Meia Praia,Itapema,POINT (-48.59886 -27.12827)
45184991,-27.12521,-48.60412,Meia Praia,Itapema,POINT (-48.60412 -27.12521)
41532894,-27.12496,-48.60491,Meia Praia,Itapema,POINT (-48.60491 -27.12496)
50312140,-27.12471,-48.61887,Morretes,Itapema,POINT (-48.61887 -27.12471)
769611751302045150,-27.12179,-48.61988,Morretes,Itapema,POINT (-48.61988 -27.12179)
40236441,-27.1229,-48.61899,Morretes,Itapema,POINT (-48.61899 -27.1229)
32185033,-27.12515,-48.62953,Sertão do Trombudo,Itapema,POINT (-48.62953 -27.12515)
743462426129087538,-27.12439,-48.63529,Sertão do Trombudo,Itapema,POINT (-48.63529 -27.12439)
771206653555577778,-27.10594,-48.61873,Tabuleiro dos Oliveiras,Itapema,POINT (-48.61873 -27.10594)
53674047,-27.09945,-48.62049,Tabuleiro dos Oliveiras,Itapema,POINT (-48.62049 -27.09945)
768918152709858204,-27.120069468600864,-48.620121851563454,Morretes,Itapema,POINT (-48.620121851563454 -27.120069468600864)
749906305739556786,-27.12213,-48.63193,Sertão do Trombudo,Itapema,POINT (-48.63193 -27.12213)
38824444,-27.13265,-48.6194,Morretes,Itapema,POINT (-48.6194 -27.13265)
769615154809715174,-27.12532,-48.61923,Morretes,Itapema,POINT (-48.61923 -27.12532)
53592531,-27.12502,-48.62327,Morretes,Itapema,POINT (-48.62327 -27.12502)
624633946203904422,-27.154991,-48.593098,Jardim Dourado,Porto Belo,POINT (-48.593098 -27.154991)
40923146,-27.15546,-48.58804,Jardim Dourado,Porto Belo,POINT (-48.58804 -27.15546)
607093395651339162,-27.15738,-48.58787,Jardim Dourado,Porto Belo,POINT (-48.58787 -27.15738)
40968694,-27.15663,-48.5893,Jardim Dourado,Porto Belo,POINT (-48.5893 -27.15663)
47579191,-27.15556,-48.5895,Jardim Dourado,Porto Belo,POINT (-48.5895 -27.15556)
30957478,-27.15611,-48.59077,Jardim Dourado,Porto Belo,POINT (-48.59077 -27.15611)
50743214,-27.15682,-48.57889,Alto Perequê,Porto Belo,POINT (-48.57889 -27.15682)
688989834391341862,-27.1522,-48.57224,Perequê,Porto Belo,POINT (-48.57224 -27.1522)
52666674,-27.15226,-48.57156,Perequê,Porto Belo,POINT (-48.57156 -27.15226)
770166859449735630,-27.1483,-48.5797,Perequê,Porto Belo,POINT (-48.5797 -27.1483)
48332300,-27.14933,-48.57653,Perequê,Porto Belo,POINT (-48.57653 -27.14933)
22876986,-27.15278,-48.57561,Perequê,Porto Belo,POINT (-48.57561 -27.15278)
28612430,-27.15298,-48.572,Perequê,Porto Belo,POINT (-48.572 -27.15298)
39132422,-27.14832,-48.58083,Perequê,Porto Belo,POINT (-48.58083 -27.14832)
44377998,-27.1584,-48.56032,Vila Nova,Porto Belo,POINT (-48.56032 -27.1584)
48379021,-27.15184,-48.57313,Perequê,Porto Belo,POINT (-48.57313 -27.15184)
721156790377890389,-27.15837,-48.5712,Vila Nova,Porto Belo,POINT (-48.5712 -27.15837)
49527447,-27.15151,-48.57356,Perequê,Porto Belo,POINT (-48.57356 -27.15151)
770512976871686589,-27.15236,-48.57638,Perequê,Porto Belo,POINT (-48.57638 -27.15236)
22401360,-27.15164,-48.57487,Perequê,Porto Belo,POINT (-48.57487 -27.15164)
722556290324902184,-27.1529276,-48.5720869,Perequê,Porto Belo,POINT (-48.5720869 -27.1529276)
40556586,-27.15997,-48.56457,Vila Nova,Porto Belo,POINT (-48.56457 -27.15997)
48660818,-27.15336,-48.571243,Perequê,Porto Belo,POINT (-48.571243 -27.15336)
53277044,-27.14921,-48.57665,Perequê,Porto Belo,POINT (-48.57665 -27.14921)
46471869,-27.15741,-48.56907,Vila Nova,Porto Belo,POINT (-48.56907 -27.15741)
622986798940783834,-27.15343,-48.57121,Perequê,Porto Belo,POINT (-48.57121 -27.15343)
26258339,-27.15214,-48.57284,Perequê,Porto Belo,POINT (-48.57284 -27.15214)
46318051,-27.14662,-48.58122,Perequê,Porto Belo,POINT (-48.58122 -27.14662)
48252978,-27.1534,-48.57702,Perequê,Porto Belo,POINT (-48.57702 -27.1534)
45515726,-27.153999,-48.573078,Perequê,Porto Belo,POINT (-48.573078 -27.153999)
53415208,-27.15254,-48.57495,Perequê,Porto Belo,POINT (-48.57495 -27.15254)
29851074,-27.154,-48.57308,Perequê,Porto Belo,POINT (-48.57308 -27.154)
47033568,-27.15753,-48.56967,Vila Nova,Porto Belo,POINT (-48.56967 -27.15753)
46662931,-27.15378,-48.57308,Perequê,Porto Belo,POINT (-48.57308 -27.15378)
49948623,-27.15338,-48.57107,Perequê,Porto Belo,POINT (-48.57107 -27.15338)
46117077,-27.15508,-48.5706,Perequê,Porto Belo,POINT (-48.5706 -27.15508)
41959142,-27.1527,-48.57478,Perequê,Porto Belo,POINT (-48.57478 -27.1527)
46870908,-27.1583,-48.56394,Vila Nova,Porto Belo,POINT (-48.56394 -27.1583)
51890745,-27.15538,-48.57319,Perequê,Porto Belo,POINT (-48.57319 -27.15538)
47534033,-27.15741,-48.57429,Perequê,Porto Belo,POINT (-48.57429 -27.15741)
760890719365873339,-27.15194,-48.57605,Perequê,Porto Belo,POINT (-48.57605 -27.15194)
47221647,-27.15673,-48.57896,Alto Perequê,Porto Belo,POINT (-48.57896 -27.15673)
22406201,-27.15685,-48.57639,Perequê,Porto Belo,POINT (-48.57639 -27.15685)
759376490684055561,-27.15303,-48.5733,Perequê,Porto Belo,POINT (-48.5733 -27.15303)
53895742,-27.15708,-48.5641,Vila Nova,Porto Belo,POINT (-48.5641 -27.15708)
31199819,-27.15232,-48.57152,Perequê,Porto Belo,POINT (-48.57152 -27.15232)
740367579417162170,-27.15489,-48.57182,Perequê,Porto Belo,POINT (-48.57182 -27.15489)
762206976417884246,-27.15412341110771,-48.57082352042198,Perequê,Porto Belo,POINT (-48.57082352042198 -27.15412341110771)
48378774,-27.15359,-48.57176,Perequê,Porto Belo,POINT (-48.57176 -27.15359)
508081388970673187,-27.15738,-48.56815,Vila Nova,Porto Belo,POINT (-48.56815 -27.15738)
43283443,-27.14728,-48.58143,Perequê,Porto Belo,POINT (-48.58143 -27.14728)
566658674780462356,-27.153652,-48.573181,Perequê,Porto Belo,POINT (-48.573181 -27.153652)
47018336,-27.14866,-48.57909,Perequê,Porto Belo,POINT (-48.57909 -27.14866)
41133526,-27.15971,-48.56703,Vila Nova,Porto Belo,POINT (-48.56703 -27.15971)
39752508,-27.15808,-48.57548,Perequê,Porto Belo,POINT (-48.57548 -27.15808)
31326954,-27.15803,-48.5744,Perequê,Porto Belo,POINT (-48.5744 -27.15803)
756559950023917974,-27.1531,-48.57276,Perequê,Porto Belo,POINT (-48.57276 -27.1531)
689452680635282056,-27.15366,-48.57816,Perequê,Porto Belo,POINT (-48.57816 -27.15366)
10703351,-27.15472,-48.56658,Perequê,Porto Belo,POINT (-48.56658 -27.15472)
47033043,-27.15891,-48.56942,Perequê,Porto Belo,POINT (-48.56942 -27.15891)
53343878,-27.15666,-48.5675,Vila Nova,Porto Belo,POINT (-48.5675 -27.15666)
52337033,-27.15767,-48.56973,Vila Nova,Porto Belo,POINT (-48.56973 -27.15767)
754257225154659006,-27.15509,-48.57356,Perequê,Porto Belo,POINT (-48.57356 -27.15509)
29571409,-27.152,-48.58027,Perequê,Porto Belo,POINT (-48.58027 -27.152)
53831507,-27.1547,-48.57845,Perequê,Porto Belo,POINT (-48.57845 -27.1547)
31333893,-27.15663,-48.575,Perequê,Porto Belo,POINT (-48.575 -27.15663)
47471658,-27.15703,-48.5772,Perequê,Porto Belo,POINT (-48.5772 -27.15703)
31556344,-27.14683,-48.58142,Perequê,Porto Belo,POINT (-48.58142 -27.14683)
52618493,-27.15183,-48.57644,Perequê,Porto Belo,POINT (-48.57644 -27.15183)
40121694,-27.1578,-48.56042,Vila Nova,Porto Belo,POINT (-48.56042 -27.1578)
733119821798759162,-27.15454,-48.56896,Perequê,Porto Belo,POINT (-48.56896 -27.15454)
46524716,-27.15148,-48.57503,Perequê,Porto Belo,POINT (-48.57503 -27.15148)
52597718,-27.15197,-48.58153,Perequê,Porto Belo,POINT (-48.58153 -27.15197)
54315426,-27.15991,-48.56088,Vila Nova,Porto Belo,POINT (-48.56088 -27.15991)
30529269,-27.14722,-48.58127,Perequê,Porto Belo,POINT (-48.58127 -27.14722)
47996620,-27.15032,-48.57796,Perequê,Porto Belo,POINT (-48.57796 -27.15032)
54335217,-27.15404,-48.57393,Perequê,Porto Belo,POINT (-48.57393 -27.15404)
765245467313300967,-27.14828868096292,-48.58012566190185,Perequê,Porto Belo,POINT (-48.58012566190185 -27.14828868096292)
39895753,-27.14828,-48.58191,Perequê,Porto Belo,POINT (-48.58191 -27.14828)
52731252,-27.1532,-48.57421,Perequê,Porto Belo,POINT (-48.57421 -27.1532)
53547226,-27.15287,-48.58124,Perequê,Porto Belo,POINT (-48.58124 -27.15287)
53601110,-27.148069,-48.580708,Perequê,Porto Belo,POINT (-48.580708 -27.148069)
52494654,-27.15875,-48.57215,Vila Nova,Porto Belo,POINT (-48.57215 -27.15875)
41687542,-27.15328,-48.57254,Perequê,Porto Belo,POINT (-48.57254 -27.15328)
46567795,-27.1551,-48.57379,Perequê,Porto Belo,POINT (-48.57379 -27.1551)
44850705,-27.15135,-48.57516,Perequê,Porto Belo,POINT (-48.57516 -27.15135)
53113023,-27.1544,-48.56756,Perequê,Porto Belo,POINT (-48.56756 -27.1544)
29927892,-27.15369,-48.57235,Perequê,Porto Belo,POINT (-48.57235 -27.15369)
54184369,-27.15402,-48.58122,Perequê,Porto Belo,POINT (-48.58122 -27.15402)
30911045,-27.15836,-48.5722,Perequê,Porto Belo,POINT (-48.5722 -27.15836)
722502307424059072,-27.15817,-48.57642,Alto Perequê,Porto Belo,POINT (-48.57642 -27.15817)
703588047014101689,-27.1531,-48.57775,Perequê,Porto Belo,POINT (-48.57775 -27.1531)
49022689,-27.148447,-48.580181,Perequê,Porto Belo,POINT (-48.580181 -27.148447)
706628938108739065,-27.14887,-48.57727,Perequê,Porto Belo,POINT (-48.57727 -27.14887)
753405028911465156,-27.157686747568405,-48.57120171189308,Perequê,Porto Belo,POINT (-48.57120171189308 -27.157686747568405)
757170251145585262,-27.14889,-48.57903,Perequê,Porto Belo,POINT (-48.57903 -27.14889)
763877808347292910,-27.156296,-48.5757094,Perequê,Porto Belo,POINT (-48.5757094 -27.156296)
39890282,-27.14882,-48.58036,Perequê,Porto Belo,POINT (-48.58036 -27.14882)
709941676148126069,-27.158383981766985,-48.57975997030735,Alto Perequê,Porto Belo,POINT (-48.57975997030735 -27.158383981766985)
32223177,-27.15824,-48.56548,Vila Nova,Porto Belo,POINT (-48.56548 -27.15824)
54323350,-27.15171,-48.57538,Perequê,Porto Belo,POINT (-48.57538 -27.15171)
746436859865280928,-27.15435,-48.57366,Perequê,Porto Belo,POINT (-48.57366 -27.15435)
39032502,-27.15522,-48.57529,Perequê,Porto Belo,POINT (-48.57529 -27.15522)
697604363858806860,-27.15907,-48.56465,Vila Nova,Porto Belo,POINT (-48.56465 -27.15907)
42314475,-27.1559,-48.56396,Vila Nova,Porto Belo,POINT (-48.56396 -27.1559)
725297374488467181,-27.1556769,-48.5698942,Perequê,Porto Belo,POINT (-48.5698942 -27.1556769)
21408639,-27.14995,-48.57904,Perequê,Porto Belo,POINT (-48.57904 -27.14995)
47047563,-27.15276,-48.57562,Perequê,Porto Belo,POINT (-48.57562 -27.15276)
763573160238279336,-27.15523436652497,-48.570385314524174,Perequê,Porto Belo,POINT (-48.570385314524174 -27.15523436652497)
21034445,-27.14717,-48.58016,Perequê,Porto Belo,POINT (-48.58016 -27.14717)
47088695,-27.15507,-48.58047,Perequê,Porto Belo,POINT (-48.58047 -27.15507)
749348739677929615,-27.154,-48.57171,Perequê,Porto Belo,POINT (-48.57171 -27.154)
21933810,-27.1561,-48.56932,Vila Nova,Porto Belo,POINT (-48.56932 -27.1561)
22644446,-27.15118,-48.57899,Perequê,Porto Belo,POINT (-48.57899 -27.15118)
47077773,-27.15892,-48.57257,Perequê,Porto Belo,POINT (-48.57257 -27.15892)
41564820,-27.15722,-48.57313,Perequê,Porto Belo,POINT (-48.57313 -27.15722)
765058317290374900,-27.15441,-48.56622,Perequê,Porto Belo,POINT (-48.56622 -27.15441)
689676675656498393,-27.156527631060897,-48.57030241904907,Perequê,Porto Belo,POINT (-48.57030241904907 -27.156527631060897)
15810353,-27.15286,-48.58204,Perequê,Porto Belo,POINT (-48.58204 -27.15286)
16791584,-27.15545,-48.56709,Vila Nova,Porto Belo,POINT (-48.56709 -27.15545)
54077016,-27.1586886,-48.5720257,Vila Nova,Porto Belo,POINT (-48.5720257 -27.1586886)
53335881,-27.15336,-48.57311,Perequê,Porto Belo,POINT (-48.57311 -27.15336)
747127672964176132,-27.15092,-48.57702,Perequê,Porto Belo,POINT (-48.57702 -27.15092)
749985265933568720,-27.1555975,-48.5735963,Perequê,Porto Belo,POINT (-48.5735963 -27.1555975)
48466066,-27.15335,-48.57277,Perequê,Porto Belo,POINT (-48.57277 -27.15335)
765224642879512785,-27.157,-48.57626,Perequê,Porto Belo,POINT (-48.57626 -27.157)
40933854,-27.15548,-48.56761,Vila Nova,Porto Belo,POINT (-48.56761 -27.15548)
31945409,-27.15264,-48.57823,Perequê,Porto Belo,POINT (-48.57823 -27.15264)
53455045,-27.15712,-48.57009,Perequê,Porto Belo,POINT (-48.57009 -27.15712)
562866304058754758,-27.15439,-48.58122,Perequê,Porto Belo,POINT (-48.58122 -27.15439)
747083479146515697,-27.15900475858416,-48.57490953058005,Alto Perequê,Porto Belo,POINT (-48.57490953058005 -27.15900475858416)
30317021,-27.15271,-48.57531,Perequê,Porto Belo,POINT (-48.57531 -27.15271)
38103386,-27.15368,-48.57254,Perequê,Porto Belo,POINT (-48.57254 -27.15368)
53804551,-27.15945,-48.56121,Vila Nova,Porto Belo,POINT (-48.56121 -27.15945)
46660836,-27.15606,-48.5765,Perequê,Porto Belo,POINT (-48.5765 -27.15606)
747077524859752875,-27.159174198339063,-48.57514556497336,Alto Perequê,Porto Belo,POINT (-48.57514556497336 -27.159174198339063)
32546485,-27.15307,-48.57421,Perequê,Porto Belo,POINT (-48.57421 -27.15307)
46510662,-27.15228,-48.57289,Perequê,Porto Belo,POINT (-48.57289 -27.15228)
31741842,-27.15803,-48.57641,Alto Perequê,Porto Belo,POINT (-48.57641 -27.15803)
53673115,-27.15724,-48.58049,Alto Perequê,Porto Belo,POINT (-48.58049 -27.15724)
745452304400007150,-27.15356,-48.57354,Perequê,Porto Belo,POINT (-48.57354 -27.15356)
41870169,-27.15735,-48.56572,Vila Nova,Porto Belo,POINT (-48.56572 -27.15735)
53189515,-27.15049,-48.57679,Perequê,Porto Belo,POINT (-48.57679 -27.15049)
9486809,-27.15794,-48.56444,Vila Nova,Porto Belo,POINT (-48.56444 -27.15794)
41861626,-27.15449,-48.56641,Perequê,Porto Belo,POINT (-48.56641 -27.15449)
44647390,-27.15543,-48.56801,Vila Nova,Porto Belo,POINT (-48.56801 -27.15543)
30377528,-27.15534,-48.58006,Perequê,Porto Belo,POINT (-48.58006 -27.15534)
21924943,-27.15397,-48.56912,Perequê,Porto Belo,POINT (-48.56912 -27.15397)
727690979248182603,-27.15381137237612,-48.5732113569975,Perequê,Porto Belo,POINT (-48.5732113569975 -27.15381137237612)
46101184,-27.15612,-48.57597,Perequê,Porto Belo,POINT (-48.57597 -27.15612)
32137927,-27.15511,-48.57849,Perequê,Porto Belo,POINT (-48.57849 -27.15511)
22804067,-27.15344,-48.57477,Perequê,Porto Belo,POINT (-48.57477 -27.15344)
724428366506928438,-27.15417,-48.5766,Perequê,Porto Belo,POINT (-48.5766 -27.15417)
721173927860114947,-27.15641,-48.57681,Perequê,Porto Belo,POINT (-48.57681 -27.15641)
649206843715415531,-27.15588,-48.56043,Vila Nova,Porto Belo,POINT (-48.56043 -27.15588)
52768533,-27.15041,-48.57595,Perequê,Porto Belo,POINT (-48.57595 -27.15041)
740418719355946535,-27.15611,-48.57087,Perequê,Porto Belo,POINT (-48.57087 -27.15611)
708768335210938861,-27.15623,-48.57184,Perequê,Porto Belo,POINT (-48.57184 -27.15623)
21479549,-27.1553,-48.57276,Perequê,Porto Belo,POINT (-48.57276 -27.1553)
54165526,-27.15795,-48.56359,Vila Nova,Porto Belo,POINT (-48.56359 -27.15795)
52630294,-27.15524,-48.56686,Perequê,Porto Belo,POINT (-48.56686 -27.15524)
45912139,-27.1583,-48.57604,Perequê,Porto Belo,POINT (-48.57604 -27.1583)
